Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Manufacturer
https://www.amazon.in/Eco-Right-Womens-Stylish-Crossbody/dp/B0B1VF26KM,"Eco Right Crossbody Box Sling Bags for Women & Men, Side Purse for Women Stylish Latest","1,699",4.1 out of 5 stars,4.1,,B0B1VF26KM,
https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT,Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),471,4.0 out of 5 stars,4.0,,B0BJVDN7VT,
https://www.amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),822,4.2 out of 5 stars,4.2,,B07F1157TV,
https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9,"Pigeon Breast Milk Storage Bag,Secure Seal & easy Storage,Hygienic Breast Milk Storage,Leak Proof,Zipper Zeal Breast Milk Storage,5 pcs",148,4.3 out of 5 stars,4.3,"PIGEON Your Breastfeeding Companion The milk you express for your baby is very precious, therefore it is very important to store it carefully and keep it well preserved. PIGEON's Breastmilk Storage Bags are pre-sterilized with gamma ray and are BPA-Free. It has a convenient pour spout for transferring breastmilk, a waterproof ""write-on"" tab for mothers and a unique double zipper seal for extra security. For ease of use, the storage bags are self-standing and milk can also be thawed easily by storing flat in the freezer.",B01M5DGMZ9,
https://www.amazon.in/F-Gear-Enzo-Red-Sports-Waist-Bag/dp/B0862LF7HS,F Gear Enzo Sports Waist Bag (.Red),197,4.2 out of 5 stars,4.2,,B0862LF7HS,
https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),999,4.4 out of 5 stars,4.4,,B07YY6PTMN,
https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),512,4.1 out of 5 stars,4.1,,B09CV24TMK,
https://www.amazon.in/ASTRID-Womens-Round-Sling-Pompoms/dp/B08VS8JBNK,ASTRID Women's Round Sling Bag with Pompoms (Brown),499,4.4 out of 5 stars,4.4,,B08VS8JBNK,
https://www.amazon.in/House-Quirk-Electronics-Accessories-Organizer/dp/B07MMGBD1J,"House of Quirk Electronics Accessories Organizer Bag, Universal Carry Travel Gadget Bag for Cables, Plug and More, Perfect Size Fits for Pad Phone Charger Hard Disk - Dark Blue",499,4.3 out of 5 stars,4.3,,B07MMGBD1J,
https://www.amazon.in/Gear-Training-Travel-Black-Grey-DUFCRSTNG0104/dp/B098FFTDKT,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG0104_Black),539,4.3 out of 5 stars,4.3,,B098FFTDKT,
https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y5S6C2P,"Tabelito® Casual Laptop Bag 15.6inch (39.6 cm) , 25 LTR Office College School Bags Business Travel Backpack for Men Women Water Resistant Bags(BLACK)",549,4.2 out of 5 stars,4.2,,B08Y5S6C2P,
https://www.amazon.in/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK,HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),899,4.0 out of 5 stars,4.0,,B08CY1YXCK,
https://www.amazon.in/Lavie-Broxa-Flap-Womens-Sling/dp/B08QTF8RPM,Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag,"1,217",4.2 out of 5 stars,4.2,,B08QTF8RPM,
https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG,"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",449,3.8 out of 5 stars,3.8,,B076QFBFRG,
https://www.amazon.in/Kleider-Utility-Business-Messenger-Shoulder/dp/B09RQNP9KT,Dein Kleider Nylon Sling Cross Body Utility Travel Office Business Messenger one Side Shoulder Bag for Men and Women,349,4.1 out of 5 stars,4.1,,B09RQNP9KT,
https://www.amazon.in/PALAY%C2%AE-Multifunctional-Pattern-Accommodate-Shoulder/dp/B09FJZJVP8,PALAY® Crossbody Phone Bags For Women 3 Layers Small Multifunctional Mobile Pouch Sling Bags For Girls Latest Travel Cell Phone Purses Pouch Sport Shoulder Bag,552,4.4 out of 5 stars,4.4,,B09FJZJVP8,
https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,Gear Superior 16LWater Resistant School Bag//Backpack/College Bag for Men/Women - Black,395,3.9 out of 5 stars,3.9,,B08GY2ZN96,
https://www.amazon.in/Isle-Locada-Hidesign-Womens-Sling/dp/B07SYJL1P7,Hidesign Women Sling Bag (Blue),"1,999",4.4 out of 5 stars,4.4,,B07SYJL1P7,
https://www.amazon.in/Amazon-Brand-Womens-Sling-Light/dp/B07YXBTD6Z,Amazon Brand - Eden & Ivy Women's Sling Bag,561.,4.3 out of 5 stars,4.3,,B07YXBTD6Z,
https://www.amazon.in/Gear-Ltrs-Casual-Backpack-MDBKPECO50504/dp/B0757K36YV,Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,429,3.9 out of 5 stars,3.9,"One wide access main compartment, one additional front pocket and one bottle pocket. Easily Adjustable padded shoulder straps with anti-sweat fabric underneath.",B0757K36YV,
https://www.amazon.in/AirCase-Messenger-Detachable-Shoulder-Warranty/dp/B0BHZ12XQ7,"AirCase Office Canvas Sling Messenger Bag fits Upto 15.6"" Laptop/ MacBook, PU Leather Handles, Detachable Shoulder Strap, Easy to Clean, for Office/ Travel, Men & Women,Grey- 6 Month Warranty",999,4.0 out of 5 stars,4.0,,B0BHZ12XQ7,
https://www.amazon.in/Wooum-Resisitance-Shoulder-Business-Messenger/dp/B0993Q72WD,wooum Water Resisitance Sling Cross Body Bag/One Side Bag/Shoulder Bag/Office Business Messenger Bag/Money Bag for Men and Women - Blue,328,4.0 out of 5 stars,4.0,,B0993Q72WD,
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,498,4.3 out of 5 stars,4.3,,B07PLKV6D1,
https://www.amazon.in/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY,"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College",519,4.1 out of 5 stars,4.1,,B06XRQRDCY,
https://www.amazon.in/AirCase-Messenger-13-Inch-14-Inch-MacBook/dp/B07WS6HTHY,"AirCase C26 13.3 Inch/14 Inch Messenger Laptop Bag with Shoulder Strap, Water resistant, Handle and 2 Multi Utility Compartments (Black)",949,4.1 out of 5 stars,4.1,,B07WS6HTHY,
https://www.amazon.in/Marma-Zig-Zag-Sling-Navy/dp/B08KR4WRM6,Lavie Women's Marma Dome Sling Bag| Ladies Purse Handbag,"1,019",4.0 out of 5 stars,4.0,,B08KR4WRM6,
https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J,"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",787,4.4 out of 5 stars,4.4,,B0BR123Z9J,
https://www.amazon.in/Nivia-5177RD-Polyester-String-Bag/dp/B07NNJKQQY,Nivia 5177RD Polyester String Bag (Red),193,4.0 out of 5 stars,4.0,,B07NNJKQQY,
https://www.amazon.in/wooum-Resistant-Material-Messenger-Compartment/dp/B0BQFHN15L,wooum Water Resistant Material Sling Bag/One Side Bag/Shoulder Bag/Messenger Bag/Office Messenger Bag/Travel Side Bag with 14.1 Inch Laptop Compartment -,474,4.0 out of 5 stars,4.0,,B0BQFHN15L,
https://www.amazon.in/Tommy-Hilfiger-Polyester-TH-KENDALL0815/dp/B082PFY9VC,Tommy Hilfiger Polyester 53 cms Navy + White Gym Shoulder Bag (TH/KENDALL0815),"1,799",4.4 out of 5 stars,4.4,,B082PFY9VC,
https://www.amazon.in/VIFITKIT-Multi-Purpose-Spacious-Storage-Compartment/dp/B0B4BLYKYB,"VIFITKIT Gym Bag for Men & Women, Duffel Bag, Multi-Purpose Bag with Spacious Storage Compartment & Durable Zipper Closure (22.5 litres, Blue & Black)",299,4.1 out of 5 stars,4.1,,B0B4BLYKYB,
https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",449,4.3 out of 5 stars,4.3,,B09TDNZ88Z,
